target,model,bin,mean_predicted,fraction_active
PKM2,lightgbm_weighted,1,0.0,0.002347417840375587
PKM2,lightgbm_weighted,2,0.0009453795253614839,0.0016863406408094434
PKM2,lightgbm_weighted,3,0.0018885723414887269,0.0014064697609001407
PKM2,lightgbm_weighted,4,0.004525075689651748,0.0012259910093992644
PKM2,lightgbm_weighted,5,0.004587155963303133,0.0022483137646764927
PKM2,lightgbm_weighted,6,0.007330862467257949,0.00651890482398957
PKM2,lightgbm_weighted,7,0.05551973034920544,0.03228228228228228
PKM2,xgboost_weighted,1,0.0005175387718012637,0.0010793308148947653
PKM2,xgboost_weighted,2,0.0012776831863448024,0.0021494708994708994
PKM2,xgboost_weighted,3,0.003394762286916375,0.002331002331002331
PKM2,xgboost_weighted,4,0.005993150640279055,0.0011933174224343676
PKM2,xgboost_weighted,5,0.006779660936444998,0.0021645021645021645
PKM2,xgboost_weighted,6,0.009666251366704312,0.007270964614638876
PKM2,xgboost_weighted,7,0.07684711502688057,0.041340782122905026
MAPK1,lightgbm_weighted,1,0.0011454222333449461,0.0003803727653100038
MAPK1,lightgbm_weighted,2,0.0036704392850056265,0.0040609137055837565
MAPK1,lightgbm_weighted,3,0.005298013245033277,0.0019249278152069298
MAPK1,lightgbm_weighted,4,0.007379506758412582,0.004963600264725348
MAPK1,lightgbm_weighted,5,0.024910878451877578,0.02194787379972565
MAPK1,xgboost_weighted,1,0.0007560835788873791,0.0008051529790660225
MAPK1,xgboost_weighted,2,0.0034233377440983817,0.0023857588548357495
MAPK1,xgboost_weighted,3,0.006754655657472307,0.002748763056624519
MAPK1,xgboost_weighted,4,0.01200133181096167,0.009308510638297872
MAPK1,xgboost_weighted,5,0.027401457180101903,0.028205128205128206
