target,model,metric,random,scaffold,delta_scaffold_minus_random
MAPK1,Max-similarity,Average precision,0.0280718086629333,0.0506724609755039,0.022600652312570604
MAPK1,Max-similarity,EF1%,11.664784946236558,21.150434243176175,9.485649296939616
MAPK1,Max-similarity,BEDROC20,0.2298063986252841,0.3408290149263094,0.1110226163010253
MAPK1,Logistic regression,Average precision,0.0150644507459168,0.0143632151289693,-0.0007012356169475015
MAPK1,Logistic regression,EF1%,3.332795698924731,1.9227667493796523,-1.4100289495450786
MAPK1,Logistic regression,BEDROC20,0.1786101550245846,0.2199105226372436,0.041300367612658984
MAPK1,Random forest,Average precision,0.0225669093221403,0.0259051989887149,0.003338289666574599
MAPK1,Random forest,EF1%,8.331989247311826,11.536600496277917,3.2046112489660903
MAPK1,Random forest,BEDROC20,0.1648474650471943,0.1912759570253313,0.026428491978136986
MAPK1,LightGBM,Average precision,0.025256193605052,0.0721651540943795,0.046908960489327495
MAPK1,LightGBM,EF1%,6.665591397849462,19.227667493796524,12.562076095947063
MAPK1,LightGBM,BEDROC20,0.1838710856056008,0.2907634947702821,0.10689240916468132
MAPK1,XGBoost,Average precision,0.028788396696743,0.0575174984431401,0.0287291017463971
MAPK1,XGBoost,EF1%,9.998387096774191,13.459367245657567,3.460980148883376
MAPK1,XGBoost,BEDROC20,0.240841674460567,0.3093483434320113,0.06850666897144428
PKM2,Max-similarity,Average precision,0.1019971931957345,0.0063209236580258,-0.09567626953770869
PKM2,Max-similarity,EF1%,33.92075711429585,10.88869179600887,-23.032065318286982
PKM2,Max-similarity,BEDROC20,0.4655843266664294,0.244792999973543,-0.2207913266928864
PKM2,Logistic regression,Average precision,0.0503559140963653,0.0211375430420891,-0.029218371054276198
PKM2,Logistic regression,EF1%,10.091743119266054,12.987012987012989,2.8952698677469346
PKM2,Logistic regression,BEDROC20,0.3830797939036432,0.3200704765287899,-0.06300931737485332
PKM2,Random forest,Average precision,0.1467446190292385,0.0600174576462808,-0.08672716138295769
PKM2,Random forest,EF1%,29.357798165137613,19.48051948051948,-9.877278684618133
PKM2,Random forest,BEDROC20,0.4073524987121625,0.3282550535504293,-0.07909744516173323
PKM2,LightGBM,Average precision,0.299451190168121,0.1327043493161013,-0.16674684085201968
PKM2,LightGBM,EF1%,35.77981651376147,27.272727272727273,-8.507089241034194
PKM2,LightGBM,BEDROC20,0.5593457620251117,0.4396232654087585,-0.11972249661635315
PKM2,XGBoost,Average precision,0.2375260987881617,0.1603065542200933,-0.0772195445680684
PKM2,XGBoost,EF1%,33.944954128440365,31.16883116883117,-2.7761229596091965
PKM2,XGBoost,BEDROC20,0.5134306773216828,0.4337786152947571,-0.07965206202692571
